model,dataset,tuning,imbalance,n_folds,oof_auc,oof_pr_auc,mean_fold_auc,std_fold_auc,runtime_s,n_samples,prevalence,auc,pr_auc,accuracy,precision,recall,f1,threshold,feature_set,scenario,minority_pct
elastic_net,hungarian,default,smote,10,0.902900441589723,0.8552928366956619,0.9018234981392876,0.0416045252735691,1.63,294,,0.902900441589723,0.8552928366956619,0.8333333333333334,0.7766990291262136,0.7547169811320755,0.7655502392344498,0.395315325268194,raw,3.0,36.05
elastic_net,switzerland,competition,native,15,0.6891304347826087,0.961697480594131,0.6898550724637681,0.24805058058226787,2.87,123,,0.6891304347826087,0.961697480594131,0.9186991869918699,0.9338842975206612,0.9826086956521739,0.9576271186440678,0.9618101987030908,raw,3.0,6.5
elastic_net,switzerland,competition,smote,15,0.707608695652174,0.9624258638538918,0.6623188405797101,0.2890423388363573,3.21,123,,0.707608695652174,0.9624258638538918,0.8699186991869918,0.9541284403669725,0.9043478260869565,0.9285714285714286,0.7439833099705065,raw,3.0,6.5
elastic_net,switzerland,dataset,native,15,0.6326086956521739,0.9582405232710695,0.6855072463768117,0.2696431241636576,243.84,123,,0.6326086956521739,0.9582405232710695,0.9024390243902439,0.9478260869565217,0.9478260869565217,0.9478260869565217,0.8003083139967225,raw,3.0,6.5
elastic_net,switzerland,dataset,smote,15,0.7880434782608696,0.9604771012212591,0.7144927536231885,0.2427092756376882,304.13,123,,0.7880434782608696,0.9604771012212591,0.8617886178861789,0.9622641509433962,0.8869565217391304,0.9230769230769231,0.6287883137732573,raw,3.0,6.5
elastic_net,switzerland,default,native,15,0.6891304347826087,0.961697480594131,0.6898550724637681,0.24805058058226787,2.71,123,,0.6891304347826087,0.961697480594131,0.9186991869918699,0.9338842975206612,0.9826086956521739,0.9576271186440678,0.9618101987030908,raw,3.0,6.5
elastic_net,switzerland,default,smote,15,0.707608695652174,0.9624258638538918,0.6623188405797101,0.2890423388363573,3.5,123,,0.707608695652174,0.9624258638538918,0.8699186991869918,0.9541284403669725,0.9043478260869565,0.9285714285714286,0.7439833099705065,raw,3.0,6.5
elastic_net,va_longbeach,competition,native,15,0.6765363863666272,0.820374898847328,0.6837593173110414,0.08266734397626577,2.64,200,,0.6765363863666272,0.820374898847328,0.76,0.791907514450867,0.9194630872483222,0.8509316770186336,0.7808740015219927,raw,3.0,25.5
elastic_net,va_longbeach,competition,smote,15,0.664034741413344,0.8092860454208111,0.668949843260188,0.08070033804549516,2.6,200,,0.664034741413344,0.8092860454208111,0.67,0.816793893129771,0.7181208053691275,0.7642857142857142,0.35733841971774866,raw,3.0,25.5
elastic_net,va_longbeach,dataset,native,15,0.6670614554546652,0.8273246177371807,0.6841375827237897,0.08374814076866276,407.35,200,,0.6670614554546652,0.8273246177371807,0.72,0.7784431137724551,0.87248322147651,0.8227848101265823,0.6557166551014032,raw,3.0,25.5
elastic_net,va_longbeach,dataset,smote,15,0.6574549282800368,0.8256971796126074,0.6775423197492162,0.07376535401156306,408.61,200,,0.6574549282800368,0.8256971796126074,0.65,0.8110236220472441,0.6912751677852349,0.7463768115942029,0.5730102239439385,raw,3.0,25.5
elastic_net,va_longbeach,default,native,15,0.6765363863666272,0.820374898847328,0.6837593173110414,0.08266734397626577,2.76,200,,0.6765363863666272,0.820374898847328,0.76,0.791907514450867,0.9194630872483222,0.8509316770186336,0.7808740015219927,raw,3.0,25.5
elastic_net,va_longbeach,default,smote,15,0.664034741413344,0.8092860454208111,0.668949843260188,0.08070033804549516,2.76,200,,0.664034741413344,0.8092860454208111,0.67,0.816793893129771,0.7181208053691275,0.7642857142857142,0.35733841971774866,raw,3.0,25.5
extra_trees,cleveland,competition,native,10,0.903272503948061,0.8919497747882442,0.9070095345830641,0.036350596472158,4.13,303,45.9,0.903272503948061,0.8919497747882442,0.801980198019802,0.7969924812030075,0.762589928057554,0.7794117647058824,0.4675,,,
extra_trees,cleveland,competition,smote,10,0.9040182488155817,0.8897719996487773,0.908515473497091,0.039669393653501056,3.81,303,45.9,0.9040182488155817,0.8897719996487773,0.8151815181518152,0.8029197080291971,0.7913669064748201,0.7971014492753623,0.57,raw,3.0,
extra_trees,cleveland,dataset,native,10,0.9045446569573611,0.890744810741636,0.9170147866839043,0.033971968795306035,5583.44,303,,0.9045446569573611,0.890744810741636,0.8250825082508251,0.8161764705882353,0.7985611510791367,0.8072727272727273,0.5900262594226987,raw,3.0,45.87
extra_trees,cleveland,dataset,smote,10,0.9018687489033164,0.8917749659227574,0.9116980446024563,0.0347368574193938,5256.05,303,,0.9018687489033164,0.8917749659227574,0.8250825082508251,0.8115942028985508,0.8057553956834532,0.8086642599277978,0.6036198770018282,raw,3.0,45.87
extra_trees,cleveland,default,native,10,0.903272503948061,0.8919497747882442,0.9070095345830641,0.036350596472158,4.39,303,45.9,0.903272503948061,0.8919497747882442,0.801980198019802,0.7969924812030075,0.762589928057554,0.7794117647058824,0.4675,,,
extra_trees,cleveland,default,smote,10,0.9023293560273732,0.8878977503327079,0.9077872495151906,0.03478500153572928,3.87,303,45.9,0.9023293560273732,0.8878977503327079,0.8118811881188119,0.8059701492537313,0.7769784172661871,0.7912087912087912,0.47625,,,
extra_trees,hungarian,competition,native,10,0.8991368928141309,0.830629063456244,0.8953880914407231,0.061745053379315344,8.1,294,,0.8991368928141309,0.830629063456244,0.826530612244898,0.8021978021978022,0.6886792452830188,0.7411167512690355,0.38933844011142066,raw,3.0,36.05
extra_trees,hungarian,competition,smote,10,0.8984092733841831,0.8292715471428038,0.8950558213716107,0.05801551323263598,7.59,294,,0.8984092733841831,0.8292715471428038,0.8367346938775511,0.7843137254901961,0.7547169811320755,0.7692307692307693,0.4975,raw,3.0,36.05
extra_trees,hungarian,dataset,native,10,0.9106784423926134,0.8487536688149965,0.906682615629984,0.05512393887379064,3741.9,294,,0.9106784423926134,0.8487536688149965,0.8401360544217688,0.7657657657657657,0.8018867924528302,0.783410138248848,0.4504733306912277,raw,3.0,36.05
extra_trees,hungarian,dataset,smote,10,0.9056101967081494,0.8444304195723565,0.9059808612440193,0.051289513359395036,4291.55,294,,0.9056101967081494,0.8444304195723565,0.8469387755102041,0.7904761904761904,0.7830188679245284,0.7867298578199052,0.48399836672477725,raw,3.0,36.05
extra_trees,hungarian,default,native,10,0.8991368928141309,0.830629063456244,0.8953880914407231,0.061745053379315344,8.01,294,,0.8991368928141309,0.830629063456244,0.826530612244898,0.8021978021978022,0.6886792452830188,0.7411167512690355,0.38933844011142066,raw,3.0,36.05
extra_trees,hungarian,default,smote,10,0.8984092733841831,0.8292715471428038,0.8950558213716107,0.05801551323263598,7.15,294,,0.8984092733841831,0.8292715471428038,0.8367346938775511,0.7843137254901961,0.7547169811320755,0.7692307692307693,0.4975,raw,3.0,36.05
extra_trees,switzerland,competition,native,15,0.6831521739130435,0.9662136154478974,0.686231884057971,0.23493911405636478,13.93,123,,0.6831521739130435,0.9662136154478974,0.9105691056910569,0.9333333333333333,0.9739130434782609,0.9531914893617022,0.8350714185068308,raw,3.0,6.5
extra_trees,switzerland,competition,smote,15,0.6749999999999999,0.9501774474778072,0.6847826086956522,0.26099031022048597,13.59,123,,0.6749999999999999,0.9501774474778072,0.8943089430894309,0.9396551724137931,0.9478260869565217,0.9437229437229437,0.8266666666666667,raw,3.0,6.5
extra_trees,switzerland,dataset,native,15,0.7076086956521739,0.9433169340663992,0.705072463768116,0.22363732379455997,1946.92,123,,0.7076086956521739,0.9433169340663992,0.8943089430894309,0.9636363636363636,0.9217391304347826,0.9422222222222222,0.6089702919176627,raw,3.0,6.5
extra_trees,switzerland,dataset,smote,15,0.7510869565217391,0.9688879647528044,0.7797101449275362,0.18816037527092733,2026.46,123,,0.7510869565217391,0.9688879647528044,0.8617886178861789,0.9711538461538461,0.8782608695652174,0.9223744292237442,0.5966490786948203,raw,3.0,6.5
extra_trees,switzerland,default,native,15,0.6831521739130435,0.9662136154478974,0.686231884057971,0.23493911405636478,13.4,123,,0.6831521739130435,0.9662136154478974,0.9105691056910569,0.9333333333333333,0.9739130434782609,0.9531914893617022,0.8350714185068308,raw,3.0,6.5
extra_trees,switzerland,default,smote,15,0.6749999999999999,0.9501774474778072,0.6847826086956522,0.26099031022048597,13.38,123,,0.6749999999999999,0.9501774474778072,0.8943089430894309,0.9396551724137931,0.9478260869565217,0.9437229437229437,0.8266666666666667,raw,3.0,6.5
extra_trees,va_longbeach,competition,native,15,0.6478484011054086,0.8097645751236547,0.6458202716823406,0.0666459935146392,13.86,200,,0.6478484011054086,0.8097645751236547,0.775,0.8058823529411765,0.9194630872483222,0.8589341692789969,0.5615267542495854,raw,3.0,25.5
extra_trees,va_longbeach,competition,smote,15,0.6599552572706935,0.8157477011824043,0.6566071055381401,0.06706973206500583,13.53,200,,0.6599552572706935,0.8157477011824043,0.75,0.8113207547169812,0.8657718120805369,0.8376623376623377,0.42291666666666666,raw,3.0,25.5
extra_trees,va_longbeach,dataset,native,15,0.7079878931438347,0.8441498146256375,0.7125290839428772,0.08585061185393399,3451.79,200,,0.7079878931438347,0.8441498146256375,0.68,0.8244274809160306,0.7248322147651006,0.7714285714285715,0.4332986952366323,raw,3.0,25.5
extra_trees,va_longbeach,dataset,smote,15,0.7165416502171338,0.849411038143554,0.7120128874956461,0.0740955934395982,3158.37,200,,0.7165416502171338,0.849411038143554,0.685,0.8307692307692308,0.7248322147651006,0.7741935483870968,0.5239445760073432,raw,3.0,25.5
extra_trees,va_longbeach,default,native,15,0.6478484011054086,0.8097645751236547,0.6458202716823406,0.0666459935146392,13.9,200,,0.6478484011054086,0.8097645751236547,0.775,0.8058823529411765,0.9194630872483222,0.8589341692789969,0.5615267542495854,raw,3.0,25.5
extra_trees,va_longbeach,default,smote,15,0.6599552572706935,0.8157477011824043,0.6566071055381401,0.06706973206500583,13.48,200,,0.6599552572706935,0.8157477011824043,0.75,0.8113207547169812,0.8657718120805369,0.8376623376623377,0.42291666666666666,raw,3.0,25.5
knn,cleveland,competition,native,10,0.9131426566064222,0.9035942261334086,0.9178531027795733,0.045259943548153804,1.5,303,45.9,0.9131426566064222,0.9035942261334086,0.8316831683168316,0.8548387096774194,0.762589928057554,0.8060836501901141,0.5701579367901898,,,
knn,cleveland,competition,smote,10,0.912616248464643,0.9048145951273403,0.9165804783451842,0.04419068093391321,1.57,303,45.9,0.912616248464643,0.9048145951273403,0.8250825082508251,0.8412698412698413,0.762589928057554,0.8,0.5734655973752397,raw,3.0,
knn,cleveland,dataset,native,10,0.9061238813826986,0.9059575399596489,0.9102718972204267,0.045801991370822935,437.9,303,,0.9061238813826986,0.9059575399596489,0.8283828382838284,0.8990825688073395,0.7050359712230215,0.7903225806451613,0.4907964306667616,raw,3.0,45.87
knn,cleveland,dataset,smote,10,0.9053123354974557,0.9097165083561745,0.9064388736263738,0.04924966060967575,482.79,303,,0.9053123354974557,0.9097165083561745,0.8184818481848185,0.8387096774193549,0.7482014388489209,0.7908745247148289,0.4539001992978862,raw,3.0,45.87
knn,cleveland,default,native,10,0.9019126162484645,0.8996756568080102,0.9062338396897222,0.05346785310037267,1.59,303,45.9,0.9019126162484645,0.8996756568080102,0.8250825082508251,0.8359375,0.7697841726618705,0.8014981273408239,0.46263387730218875,,,
knn,cleveland,default,smote,10,0.897284611335322,0.8933493493643134,0.9026018099547513,0.057157294368918254,1.41,303,45.9,0.897284611335322,0.8933493493643134,0.8151815181518152,0.7943262411347518,0.8057553956834532,0.8,0.5801208609325089,,,
knn,hungarian,competition,native,10,0.8886240465676434,0.826345820716524,0.8839500265816056,0.05449672807757264,1.88,294,,0.8886240465676434,0.826345820716524,0.8333333333333334,0.8202247191011236,0.6886792452830188,0.7487179487179487,0.2308588778322258,raw,3.0,36.05
knn,hungarian,competition,smote,10,0.8940686471296668,0.841565859100006,0.8949494949494949,0.05313907878653239,2.29,294,,0.8940686471296668,0.841565859100006,0.8333333333333334,0.8,0.7169811320754716,0.7562189054726368,0.3741815455000411,raw,3.0,36.05
knn,hungarian,dataset,native,10,0.8874698916097953,0.8187990792905547,0.88132110579479,0.04981217844387947,562.69,294,,0.8874698916097953,0.8187990792905547,0.8163265306122449,0.8333333333333334,0.6132075471698113,0.7065217391304348,0.31566726202657386,raw,3.0,36.05
knn,hungarian,dataset,smote,10,0.8801686069851467,0.8246331849738813,0.8843248272195641,0.055180721624955166,618.83,294,,0.8801686069851467,0.8246331849738813,0.8367346938775511,0.8020833333333334,0.7264150943396226,0.7623762376237624,0.4358835817101037,raw,3.0,36.05
knn,hungarian,default,native,10,0.8904305499799277,0.8340494293597231,0.8958320042530568,0.05458674377959368,2.12,294,,0.8904305499799277,0.8340494293597231,0.8435374149659864,0.8488372093023255,0.6886792452830188,0.7604166666666666,0.2734540812604283,raw,3.0,36.05
knn,hungarian,default,smote,10,0.8927388598956243,0.847836686330082,0.8941148325358851,0.051084215526864346,2.12,294,,0.8927388598956243,0.847836686330082,0.8435374149659864,0.7777777777777778,0.7924528301886793,0.7850467289719626,0.48750892732841294,raw,3.0,36.05
knn,switzerland,competition,native,15,0.6684782608695652,0.9546733705897044,0.6644927536231883,0.26769061446073034,3.55,123,,0.6684782608695652,0.9546733705897044,0.9349593495934959,0.9349593495934959,1.0,0.9663865546218487,0.9169779783373532,raw,3.0,6.5
knn,switzerland,competition,smote,15,0.7135869565217392,0.963905907434091,0.7152173913043479,0.23705289889517525,4.79,123,,0.7135869565217392,0.963905907434091,0.8211382113821138,0.9603960396039604,0.8434782608695652,0.8981481481481481,0.5566329510998265,raw,3.0,6.5
knn,switzerland,dataset,native,15,0.6684782608695652,0.9546733705897044,0.6644927536231883,0.26769061446073034,15.74,123,,0.6684782608695652,0.9546733705897044,0.9349593495934959,0.9349593495934959,1.0,0.9663865546218487,0.9169779783373532,raw,3.0,6.5
knn,switzerland,dataset,smote,15,0.7135869565217392,0.963905907434091,0.7152173913043479,0.23705289889517525,52.03,123,,0.7135869565217392,0.963905907434091,0.8211382113821138,0.9603960396039604,0.8434782608695652,0.8981481481481481,0.5566329510998265,raw,3.0,6.5
knn,switzerland,default,native,15,0.6858695652173913,0.9594326847359079,0.6753623188405797,0.25317351440740304,3.61,123,,0.6858695652173913,0.9594326847359079,0.9349593495934959,0.9349593495934959,1.0,0.9663865546218487,0.9075711642730849,raw,3.0,6.5
knn,switzerland,default,smote,15,0.6967391304347825,0.9636025110578834,0.6601449275362319,0.2623288491965246,4.63,123,,0.6967391304347825,0.9636025110578834,0.7723577235772358,0.9578947368421052,0.7913043478260869,0.8666666666666667,0.2966881729409016,raw,3.0,6.5
knn,va_longbeach,competition,native,15,0.6550861955520463,0.8044580628322745,0.6561957506095436,0.07998620789294549,4.11,200,,0.6550861955520463,0.8044580628322745,0.74,0.7593582887700535,0.9530201342281879,0.8452380952380952,0.7854279293850627,raw,3.0,25.5
knn,va_longbeach,competition,smote,15,0.6711409395973155,0.8112805096997358,0.6771717171717172,0.08353197680094708,3.78,200,,0.6711409395973155,0.8112805096997358,0.71,0.8321167883211679,0.7651006711409396,0.7972027972027972,0.532930585792419,raw,3.0,25.5
knn,va_longbeach,dataset,native,15,0.6550861955520463,0.8044580628322745,0.6561957506095436,0.07998620789294549,30.86,200,,0.6550861955520463,0.8044580628322745,0.74,0.7593582887700535,0.9530201342281879,0.8452380952380952,0.7854279293850627,raw,3.0,25.5
knn,va_longbeach,dataset,smote,15,0.7003553099091986,0.8392159551844207,0.6887485196795543,0.09788141407841747,530.79,200,,0.7003553099091986,0.8392159551844207,0.67,0.8487394957983193,0.6778523489932886,0.753731343283582,0.48679637885043964,raw,3.0,25.5
knn,va_longbeach,default,native,15,0.6628503750493486,0.8143752347016925,0.6658094740508534,0.07290857153290341,3.61,200,,0.6628503750493486,0.8143752347016925,0.74,0.7650273224043715,0.9395973154362416,0.8433734939759037,0.6716984484905332,raw,3.0,25.5
knn,va_longbeach,default,smote,15,0.6674562442426634,0.8099028301962938,0.6657314524555904,0.0701392781892508,3.98,200,,0.6674562442426634,0.8099028301962938,0.675,0.8387096774193549,0.697986577181208,0.7619047619047619,0.43864810761825906,raw,3.0,25.5
lasso,cleveland,competition,native,10,0.9041937181961748,0.8973873608608928,0.9059651745313511,0.04678437775360486,0.79,303,45.9,0.9041937181961748,0.8973873608608928,0.834983498349835,0.8396946564885496,0.7913669064748201,0.8148148148148148,0.49381841045312636,,,
lasso,cleveland,competition,smote,10,0.9028338304965784,0.8952384412435792,0.903306803490627,0.048144268858026036,0.8,303,45.9,0.9028338304965784,0.8952384412435792,0.8316831683168316,0.8283582089552238,0.7985611510791367,0.8131868131868132,0.6607892711861801,raw,3.0,
lasso,cleveland,dataset,native,10,0.8966046674855238,0.8905184112961799,0.9001636231415644,0.047794853640730224,330.55,303,,0.8966046674855238,0.8905184112961799,0.8217821782178217,0.8195488721804511,0.7841726618705036,0.8014705882352942,0.606913149356842,raw,3.0,45.87
lasso,cleveland,dataset,smote,10,0.8970872082821547,0.8910951842862056,0.9014241273432451,0.04526314517928588,339.72,303,,0.8970872082821547,0.8910951842862056,0.8250825082508251,0.8208955223880597,0.7913669064748201,0.8058608058608059,0.6081184917216403,raw,3.0,45.87
lasso,cleveland,default,native,10,0.9041937181961748,0.8973873608608928,0.9059651745313511,0.04678437775360486,0.79,303,45.9,0.9041937181961748,0.8973873608608928,0.834983498349835,0.8396946564885496,0.7913669064748201,0.8148148148148148,0.49381841045312636,,,
lasso,cleveland,default,smote,10,0.9039305141252851,0.8971035378432797,0.9076458468002585,0.04687223793669939,0.8,303,45.9,0.9039305141252851,0.8971035378432797,0.8283828382838284,0.8222222222222222,0.7985611510791367,0.8102189781021898,0.6290274402065101,,,
lasso,hungarian,competition,native,10,0.9004415897230027,0.850251346775478,0.8996331738437002,0.046482085165809206,1.51,294,,0.9004415897230027,0.850251346775478,0.8537414965986394,0.8461538461538461,0.7264150943396226,0.7817258883248731,0.4737314566449884,raw,3.0,36.05
lasso,hungarian,competition,smote,10,0.9025993576876756,0.8548756719978446,0.9012971823498139,0.041917202549802704,1.51,294,,0.9025993576876756,0.8548756719978446,0.8333333333333334,0.7766990291262136,0.7547169811320755,0.7655502392344498,0.3665763180747479,raw,3.0,36.05
lasso,hungarian,dataset,native,10,0.8966278602970695,0.8446975107031004,0.8971610845295055,0.04593913756024365,453.76,294,,0.8966278602970695,0.8446975107031004,0.8469387755102041,0.8080808080808081,0.7547169811320755,0.7804878048780488,0.5712483898329673,raw,3.0,36.05
