scenario,model,dataset,feature_set,n_features,n_samples,prevalence,auc_ci_lower,auc_ci_upper,train_time_s,auc,pr_auc,accuracy,precision,recall,f1,threshold,components
zero_shot_stats,lightgbm,switzerland,raw+competition_stats,13,123,93.5,0.547077922077922,0.9083333333333332,47.76,0.7326086956521739,0.9753976791356649,0.9186991869918699,0.9487179487179487,0.9652173913043478,0.9568965517241379,0.9625868993015106,
zero_shot_stats,lightgbm,va_longbeach,raw+competition_stats,13,200,74.5,0.6169133771929823,0.7740235166914449,47.83,0.6981839715752073,0.8588706862535502,0.765,0.7684210526315789,0.9798657718120806,0.8613569321533924,0.948334006605043,
zero_shot_stats,random_forest,cleveland,raw+competition_stats,13,303,45.9,0.8856568832983928,0.9476943346508564,34.89,0.9188892788208457,0.914158137516808,0.8283828382838284,0.7880794701986755,0.8561151079136691,0.8206896551724138,0.6754469546984219,
zero_shot_stats,random_forest,hungarian,raw+competition_stats,13,294,36.1,0.8443504620349094,0.926807803256246,34.03,0.8859393817743879,0.8287855167935406,0.6394557823129252,0.5,0.9528301886792453,0.6558441558441559,0.9092642401958245,
zero_shot_stats,random_forest,switzerland,raw+competition_stats,13,123,93.5,0.5233918128654971,0.8977832512315271,33.43,0.7375,0.971966777533349,0.926829268292683,0.9416666666666667,0.9826086956521739,0.9617021276595744,0.9526121029308605,
zero_shot_stats,random_forest,va_longbeach,raw+competition_stats,13,200,74.5,0.6252196242735504,0.7768652037617555,33.28,0.7010132912225294,0.8763153345698387,0.75,0.7564766839378239,0.9798657718120806,0.8538011695906432,0.9388738422343472,
zero_shot_stats,extra_trees,cleveland,raw+competition_stats,13,303,45.9,0.8720389542024917,0.9393103757510538,19.07,0.9082075802772416,0.888956178925963,0.8217821782178217,0.7972027972027972,0.8201438848920863,0.8085106382978723,0.70875,
zero_shot_stats,extra_trees,hungarian,raw+competition_stats,13,294,36.1,0.8287717829295096,0.9144419911682055,17.91,0.8735196708149338,0.8213442643053348,0.7074829931972789,0.5588235294117647,0.8962264150943396,0.6884057971014492,0.86,
zero_shot_stats,extra_trees,switzerland,raw+competition_stats,13,123,93.5,0.521186440677966,0.9035087719298245,17.92,0.7271739130434782,0.9741322610697282,0.926829268292683,0.9491525423728814,0.9739130434782609,0.9613733905579399,0.925,
zero_shot_stats,extra_trees,va_longbeach,raw+competition_stats,13,200,74.5,0.5382467217095677,0.7117241379310345,17.88,0.626595604684827,0.8132946836050943,0.765,0.765625,0.9865771812080537,0.8621700879765396,0.93125,
zero_shot_stats,logistic_regression,cleveland,raw+competition_stats,13,303,45.9,0.8713749126484975,0.9379213729095526,0.08,0.9067818915599228,0.905208703218295,0.8184818481848185,0.795774647887324,0.8129496402877698,0.8042704626334519,0.7226715020093444,
zero_shot_stats,logistic_regression,hungarian,raw+competition_stats,13,294,36.1,0.8280321399705226,0.9173715347381803,0.07,0.8740465676435165,0.8249849157619906,0.7448979591836735,0.6013071895424836,0.8679245283018868,0.7104247104247104,0.8071943797599237,
zero_shot_stats,logistic_regression,switzerland,raw+competition_stats,13,123,93.5,0.435960591133005,0.8694444444444445,0.07,0.6652173913043478,0.9648731616974171,0.9024390243902439,0.9478260869565217,0.9478260869565217,0.9478260869565217,0.9740619281913854,
zero_shot_stats,logistic_regression,va_longbeach,raw+competition_stats,13,200,74.5,0.6217790570175438,0.7830621610346267,0.07,0.7075273062245032,0.854460785792265,0.755,0.7659574468085106,0.9664429530201343,0.8545994065281899,0.9784926143323395,
zero_shot_stats,ensemble_rank_blend_stats,cleveland,raw+competition_stats,65,303,45.9,0.8830605926581158,0.9450153711023277,,0.9163011054570978,0.9121124114291608,0.8217821782178217,0.7814569536423841,0.8489208633093526,0.8137931034482758,0.603960396039604,"catboost,xgboost,lightgbm"
zero_shot_stats,ensemble_rank_blend_stats,hungarian,raw+competition_stats,65,294,36.1,0.8188380013216083,0.9080556625577811,,0.8655158570855078,0.8228913991132163,0.7414965986394558,0.6013513513513513,0.839622641509434,0.7007874015748031,0.7108843537414966,"catboost,xgboost,lightgbm"
zero_shot_stats,ensemble_rank_blend_stats,switzerland,raw+competition_stats,65,123,93.5,0.5474137931034483,0.907563025210084,,0.7364130434782608,0.9756023560351168,0.5528455284552846,0.9838709677419355,0.5304347826086957,0.6892655367231638,0.49051490514905155,"catboost,xgboost,lightgbm"
zero_shot_stats,ensemble_rank_blend_stats,va_longbeach,raw+competition_stats,65,200,74.5,0.6310992324561403,0.7845528455284553,,0.7108830109224898,0.8693072785323422,0.625,0.8557692307692307,0.5973154362416108,0.7035573122529645,0.3833333333333333,"catboost,xgboost,lightgbm"
